method,accuracy,f1,precision,recall,auc
extreme,0.923 ± 0.004,0.947 ± 0.003,0.900 ± 0.005,1.000 ± 0.000,0.996 ± 0.000
histogram,0.973 ± 0.002,0.981 ± 0.002,0.993 ± 0.003,0.969 ± 0.002,0.997 ± 0.000
