distance,identity,clusters
0.0,1.0,969
0.00015569048731123303,0.9998443095126888,968
0.00015573898146703513,0.999844261018533,967
0.00015624999999996891,0.99984375,966
0.00015637216575448143,0.9998436278342455,965
0.00015649452269173025,0.9998435054773083,964
0.0001566416040100771,0.9998433583959899,963
0.00015666614444620475,0.9998433338555538,962
0.0001566906925728473,0.9998433093074272,961
0.00015673981191222097,0.9998432601880878,960
0.00015676438313216856,0.9998432356168678,958
0.00015678896205706394,0.9998432110379429,957
0.00015681354869057085,0.9998431864513094,954
0.00015683814303635302,0.9998431618569636,946
0.00015686274509807419,0.9998431372549019,943
0.00015688735487917604,0.9998431126451208,942
0.00015691197238354437,0.9998430880276165,941
0.00015693659761450984,0.9998430634023855,940
0.00015696123057606925,0.9998430387694239,937
0.00015698587127155328,0.9998430141287284,934
0.0001570105197048477,0.9998429894802952,931
0.0001570351758793942,0.9998429648241206,930
0.00015705983979896754,0.999842940160201,929
0.00015708451146712044,0.9998429154885329,928
0.0001571338780641529,0.9998428661219358,927
0.0001571585730001379,0.9998428414269999,925
0.00015718327569946844,0.9998428167243005,924
0.0001572079861656972,0.9998427920138343,923
0.0001573069057732024,0.9998426930942268,922
0.0001573316551289894,0.999842668344871,919
0.00015735641227376806,0.9998426435877262,918
0.00015740594994495538,0.999842594050055,916
0.0001574555188159632,0.999842544481184,913
0.0001574803149606563,0.9998425196850393,912
0.00015795293002685007,0.9998420470699731,911
0.00015797788309634964,0.9998420221169037,908
0.0001580527896317685,0.9998419472103682,907
0.00015830299192653996,0.9998416970080735,906
0.00015840329478855608,0.9998415967052114,905
0.00015857913098638043,0.9998414208690136,904
0.00015860428231562196,0.9998413957176844,903
0.00015862944162436943,0.9998413705583756,902
0.00015873015873013596,0.9998412698412699,901
0.00015880578053040217,0.9998411942194696,900
0.00015933715742511012,0.9998406628425749,895
0.0001594133588395108,0.9998405866411605,894
0.0003102218085931918,0.9996897781914068,893
0.00031138097462246606,0.9996886190253775,886
0.00031264655307172706,0.9996873534469283,885
0.00031269543464662597,0.9996873045653534,884
0.0003131850923896451,0.9996868149076104,882
0.0003133322888924095,0.9996866677111076,881
