distance,identity,clusters
0.00016550810989734988,0.9998344918901027,46
0.0003310162197948108,0.9996689837802052,45
0.00033107101473262013,0.9996689289852674,43
0.0004965243296921606,0.9995034756703078,42
0.0006620324395895105,0.9993379675604105,41
0.0006691201070592179,0.9993308798929408,40
0.0009930486593843213,0.9990069513406157,39
0.0009991673605328488,0.9990008326394672,38
0.0010282776349614942,0.9989717223650385,37
0.001324064879179132,0.9986759351208209,36
0.0013322231473771318,0.9986677768526229,35
0.001484903481273725,0.9985150965187263,34
0.0015037593984962294,0.9984962406015038,33
0.001508801341156718,0.9984911986588433,32
0.0018440905280804332,0.9981559094719196,31
0.0019860973187686426,0.9980139026812314,30
0.002336838591220136,0.9976631614087799,29
0.0033101621979476636,0.9966898378020523,28
0.004526404023470265,0.9954735959765297,27
0.005499226671249358,0.9945007733287506,26
0.005958291956305817,0.9940417080436942,25
0.006123800066203278,0.9938761999337967,24
0.006620324395895438,0.9933796756041046,23
0.007447864945382299,0.9925521350546177,22
0.00788616492370997,0.99211383507629,21
0.008487269096355443,0.9915127309036446,20
0.009477884935151337,0.9905221150648487,19
0.009826782145236468,0.9901732178547635,18
0.010286302074404285,0.9897136979255957,17
0.010317856548510584,0.9896821434514894,16
0.010800617178124416,0.9891993828218756,15
0.012578616352201255,0.9874213836477987,14
0.013538988860325674,0.9864610111396743,13
0.01748671352648723,0.9825132864735128,12
0.01897154268597101,0.981028457314029,11
0.021342512908777977,0.978657487091222,10
0.02186639118457301,0.978133608815427,9
0.02289156626506028,0.9771084337349397,8
0.023659574468085087,0.9763404255319149,7
0.024092354023757756,0.9759076459762422,6
0.2850490603692001,0.7149509396307999,5
0.34339229968782514,0.6566077003121749,4
0.3459163873699065,0.6540836126300935,3
0.35721868365180465,0.6427813163481954,2
0.38301851505517115,0.6169814849448289,1
