distance,identity,clusters
0.0015894039735099286,0.9984105960264901,16
0.0018726591760299671,0.99812734082397,15
0.0031695721077654726,0.9968304278922345,14
0.0031847133757961776,0.9968152866242038,13
0.0037086092715231667,0.9962913907284768,12
0.010829371368198615,0.9891706286318014,11
0.013460015835312755,0.9865399841646872,10
0.018013245033112635,0.9819867549668874,9
0.03984168865435356,0.9601583113456464,8
0.04065904863141112,0.9593409513685889,7
0.04090305444887121,0.9590969455511288,6
0.041755319148936154,0.9582446808510638,5
0.17777185501066095,0.822228144989339,4
0.3135295706184176,0.6864704293815824,3
0.3440342429106473,0.6559657570893527,2
0.3865267807840972,0.6134732192159028,1
