iteration,method,accuracy,f1,precision,recall,auc
0,binned_10,0.9715909090909091,0.9793103448275862,0.9888579387186629,0.9699453551912568,0.9973544491668352
1,binned_10,0.9738636363636364,0.9808811305070657,0.9949409780775716,0.9672131147540983,0.9971706132361869
2,binned_10,0.9742424242424242,0.9813084112149533,0.9872787610619469,0.9754098360655737,0.9967978816703771
3,binned_10,0.9746212121212121,0.9814147018030513,0.9966197183098592,0.9666666666666667,0.9976890642919786
4,binned_10,0.968939393939394,0.9775588396278051,0.9791666666666666,0.9759562841530055,0.9971001146866355
5,binned_10,0.9727272727272728,0.9800774764803541,0.9927130044843049,0.9677595628415301,0.9965671591445727
6,binned_10,0.9746212121212121,0.9815070383659951,0.9916341327384273,0.9715846994535519,0.9968009174930851
7,binned_10,0.9742424242424242,0.9811425402107599,0.9960585585585585,0.9666666666666667,0.9969429265330904
8,binned_10,0.9761363636363637,0.9825822504838264,0.9944040290990487,0.9710382513661202,0.9976030493152535
9,binned_10,0.9768939393939394,0.9830884391461048,0.9977490151941475,0.9688524590163935,0.9974434999662687
10,binned_10,0.9700757575757576,0.9780859916782247,0.9932394366197184,0.9633879781420766,0.9973004789853607
11,binned_10,0.9674242424242424,0.9762299613045882,0.9876957494407159,0.9650273224043716,0.9961313499291641
12,binned_10,0.9731060606060606,0.9803813208068527,0.9916154276131918,0.9693989071038251,0.9972286311812723
13,binned_10,0.9742424242424242,0.9811946902654868,0.9932810750279956,0.9693989071038251,0.9969058220333267
14,binned_10,0.9746212121212121,0.9814043852345268,0.9971799210377891,0.966120218579235,0.9967722458341767
15,binned_10,0.9723484848484848,0.9798063623789764,0.9921568627450981,0.9677595628415301,0.9970309653916211
16,binned_10,0.9734848484848485,0.9806308799114555,0.9932735426008968,0.9683060109289617,0.9973325237806112
17,binned_10,0.9700757575757576,0.978194866133039,0.9882877858337981,0.9683060109289617,0.9941590771098968
18,binned_10,0.968939393939394,0.9773480662983426,0.988268156424581,0.9666666666666667,0.9967074816164069
19,binned_10,0.9723484848484848,0.9798286819563415,0.9910564561207379,0.9688524590163935,0.9972259326721986
20,binned_10,0.9696969696969697,0.9779856906989544,0.9850332594235033,0.9710382513661202,0.9961620454698779
21,binned_10,0.9731060606060606,0.9803704727674869,0.9921656407386682,0.9688524590163935,0.9969385414558456
22,binned_10,0.9731060606060606,0.980316052120876,0.9949352841868317,0.966120218579235,0.9971004520002699
23,binned_10,0.9753787878787878,0.9819794843360133,0.9966235227912211,0.9677595628415301,0.9965661472036701
24,binned_10,0.975,0.9817275747508306,0.9949494949494949,0.9688524590163935,0.9971776968225055
25,binned_10,0.9727272727272728,0.9800554016620499,0.9938202247191011,0.9666666666666667,0.9974252850300209
26,binned_10,0.9757575757575757,0.9822518025513034,0.9971846846846847,0.9677595628415301,0.9976050731970587
27,binned_10,0.9738636363636364,0.9808386559289086,0.9971767363071711,0.9650273224043716,0.9974792552114956
28,binned_10,0.968939393939394,0.9774229074889867,0.9850166481687015,0.9699453551912568,0.9969756459556095
29,binned_10,0.9723484848484848,0.9797615747158304,0.9943725379853686,0.9655737704918033,0.9969587802738986
