iteration,method,accuracy,f1,precision,recall,auc
0,extreme,0.9196969696969697,0.945219638242894,0.8965686274509804,0.9994535519125683,0.9964615799770628
1,extreme,0.9208333333333333,0.9459808736107521,0.8974987739087789,1.0,0.9961880186197127
2,extreme,0.9265151515151515,0.9496365524402908,0.9045499505440159,0.9994535519125683,0.9969692369965594
3,extreme,0.9295454545454546,0.9516380655226209,0.9077380952380952,1.0,0.997131822168252
4,extreme,0.9246212121212121,0.9484322363306557,0.9019221291276491,1.0,0.9969078459151319
5,extreme,0.9178030303030303,0.944028888315708,0.8939912066438691,1.0,0.9956800242865816
6,extreme,0.9162878787878788,0.9430559134243751,0.8922476840565577,1.0,0.9964973352222897
7,extreme,0.9257575757575758,0.9491437467566165,0.9036561264822134,0.9994535519125683,0.9960554543614653
8,extreme,0.9261363636363636,0.9493900856475473,0.9041028175976273,0.9994535519125683,0.9962541320920191
9,extreme,0.9223484848484849,0.9469598965071151,0.8992628992628993,1.0,0.9966204546987788
10,extreme,0.9246212121212121,0.9484322363306557,0.9019221291276491,1.0,0.9966170815624367
11,extreme,0.918939393939394,0.9447599380485286,0.8953033268101761,1.0,0.9957215138635903
12,extreme,0.9231060606060606,0.947450168263008,0.9001475651746188,1.0,0.9964302098090805
13,extreme,0.9295454545454546,0.9516380655226209,0.9077380952380952,1.0,0.995800107940363
14,extreme,0.9257575757575758,0.9491701244813278,0.9032576505429417,1.0,0.9964069351683196
15,extreme,0.9208333333333333,0.9459808736107521,0.8974987739087789,1.0,0.9959805707346692
16,extreme,0.9318181818181818,0.953125,0.9104477611940298,1.0,0.9966926398165014
17,extreme,0.9276515151515151,0.9504024928589977,0.9054923305294409,1.0,0.9954533495243877
18,extreme,0.9227272727272727,0.9471776281719316,0.9000984251968503,0.9994535519125683,0.9958847736625513
19,extreme,0.9174242424242425,0.9437274135260713,0.8943248532289628,0.9989071038251366,0.9964278486136409
20,extreme,0.9128787878787878,0.9408740359897172,0.8883495145631068,1.0,0.995778519867773
21,extreme,0.9268939393939394,0.9499091616921879,0.9045971329708354,1.0,0.9961633947244147
22,extreme,0.9234848484848485,0.9476954945624029,0.9005905511811023,1.0,0.9959100721851177
23,extreme,0.9318181818181818,0.953125,0.9104477611940298,1.0,0.9970242191189368
24,extreme,0.9272727272727272,0.9501557632398754,0.9050445103857567,1.0,0.9971041624502462
25,extreme,0.9257575757575758,0.9491701244813278,0.9032576505429417,1.0,0.9967243472981178
26,extreme,0.9238636363636363,0.947940947940948,0.9010339734121122,1.0,0.996698036834649
27,extreme,0.9265151515151515,0.9496626881162429,0.9041501976284585,1.0,0.996054779734197
28,extreme,0.9242424242424242,0.9481865284974094,0.9014778325123153,1.0,0.9968235175065776
29,extreme,0.928030303030303,0.9506493506493506,0.905940594059406,1.0,0.9965573770491803
