Feature,Importance
tobamo_orf1_M_mean,0.0033130187011349917
tobamo_cp_gap_openings_max,0.003272682029750211
tobamo_cp_gap_openings_min,0.0032626678957270627
outgroup_cp_gap_openings_max,0.003244873978422894
outgroup_orf1_M_max,0.0032357093284551674
outgroup_orf2_aln_orf_len_mean,0.0032240665381862237
outgroup_orf1_N_mean,0.0032020567004587635
tobamo_orf1_M_max,0.0031954061392295906
tobamo_orf1_aln_orf_len_mean,0.0031659729513645995
tobamo_orf1_N_mean,0.0030192728196882395
outgroup_orf1_aln_orf_len_min,0.0029425995013829457
outgroup_orf1_aln_orf_len_mean,0.00284241340436034
orf_acc_method,0.002772436279993044
tobamo_orf2_aln_orf_len_max,0.0026952818298286397
outgroup_cp_aln_orf_len_max,0.002564696632118629
outgroup_orf2_aln_orf_len_max,0.0025547619885082458
outgroup_orf1_N_max,0.002520188640495203
tobamo_orf1_aln_orf_len_max,0.0024879965912985354
tobamo_cp_aln_orf_len_max,0.002412482591185606
tobamo_orf1_N_max,0.002400592583645299
outgroup_orf1_aln_orf_len_max,0.002358465081980509
