iteration,method,accuracy,f1,precision,recall,auc
0,binned_10,0.9757575757575757,0.9823204419889503,0.9932960893854749,0.9715846994535519,0.9967051204209675
1,binned_10,0.9753787878787878,0.9820193637621023,0.9943977591036415,0.9699453551912568,0.9971466639681575
2,binned_10,0.9731060606060606,0.9803269603768356,0.9943788645306352,0.9666666666666667,0.9972620252310598
3,binned_10,0.9719696969696969,0.9795240730492529,0.992152466367713,0.9672131147540983,0.9965664845173042
4,binned_10,0.9704545454545455,0.9784886927744071,0.987750556792873,0.9693989071038251,0.996086149902179
5,binned_10,0.9723484848484848,0.979850952249517,0.9899609592861126,0.9699453551912568,0.9969419145921878
6,binned_10,0.9712121212121212,0.9790633608815427,0.9872222222222222,0.9710382513661202,0.9970822370640221
7,binned_10,0.975,0.9817174515235457,0.9955056179775281,0.9683060109289617,0.9973999865074545
8,binned_10,0.9761363636363637,0.982533961741059,0.9971862689926843,0.9683060109289617,0.9975315388247993
9,binned_10,0.9738636363636364,0.9808280077799388,0.9977388355002826,0.9644808743169399,0.9970778519867772
10,binned_10,0.9708333333333333,0.9786880708552449,0.9915872125630959,0.966120218579235,0.9965985293125548
11,binned_10,0.9742424242424242,0.9811738648947951,0.9943883277216611,0.9683060109289617,0.997546717938339
12,binned_10,0.9746212121212121,0.9814455829410136,0.9949466591802358,0.9683060109289617,0.9971163057410781
13,binned_10,0.975,0.9816971713810316,0.9966216216216216,0.9672131147540983,0.9973207178034136
14,binned_10,0.9738636363636364,0.9809234171965717,0.9927252378287633,0.9693989071038251,0.9971351953045942
15,binned_10,0.9761363636363637,0.9826110957769804,0.992749581706637,0.9726775956284153,0.9975649328745867
16,binned_10,0.975,0.981737686773658,0.9943946188340808,0.9693989071038251,0.9944845847669163
17,binned_10,0.9727272727272728,0.9800884955752213,0.9921612541993281,0.9683060109289617,0.9966231532078526
18,binned_10,0.9723484848484848,0.9798398232532449,0.9905080960357342,0.9693989071038251,0.9962025231059839
19,binned_10,0.9678030303030303,0.9765387800165609,0.9866146123814835,0.9666666666666667,0.9957609795587937
20,binned_10,0.9708333333333333,0.9786998616874135,0.9910364145658264,0.9666666666666667,0.9973011536126289
21,binned_10,0.9727272727272728,0.980110497237569,0.9910614525139665,0.9693989071038251,0.9971443027727181
22,binned_10,0.9746212121212121,0.9814558538610573,0.9943914750420639,0.9688524590163935,0.9973112730216556
23,binned_10,0.9761363636363637,0.9825629670633822,0.9955131800336512,0.9699453551912568,0.9971277744046414
24,binned_10,0.9708333333333333,0.9786289203441576,0.9943598420755781,0.9633879781420766,0.9972782162855023
25,binned_10,0.9761363636363637,0.982533961741059,0.9971862689926843,0.9683060109289617,0.9980611212305202
26,binned_10,0.9742424242424242,0.9811215991116047,0.9971783295711061,0.9655737704918033,0.9976310463468933
27,binned_10,0.9715909090909091,0.9793217535153019,0.988313856427379,0.9704918032786886,0.9970751534777036
28,binned_10,0.9727272727272728,0.9800774764803541,0.9927130044843049,0.9677595628415301,0.9969746340147068
29,binned_10,0.9757575757575757,0.9822714681440443,0.9960674157303371,0.9688524590163935,0.9964302098090805
