method,accuracy,f1,precision,recall,auc
extreme,0.924 ± 0.004,0.948 ± 0.003,0.901 ± 0.005,1.000 ± 0.000,0.996 ± 0.000
binned_10,0.973 ± 0.002,0.981 ± 0.002,0.993 ± 0.003,0.968 ± 0.002,0.997 ± 0.001
