iteration,method,accuracy,f1,precision,recall,auc
0,extreme,0.9204545454545454,0.9457364341085271,0.8970588235294118,1.0,0.995897928894286
1,extreme,0.9234848484848485,0.9476954945624029,0.9005905511811023,1.0,0.996873777238076
2,extreme,0.9303030303030303,0.9521331945889698,0.9086395233366436,1.0,0.996998245969102
3,extreme,0.9215909090909091,0.9464701318851824,0.898379970544919,1.0,0.9961461917290697
4,extreme,0.9178030303030303,0.944,0.8943765281173595,0.9994535519125683,0.9961090872293057
5,extreme,0.918939393939394,0.9447314049586777,0.895690499510284,0.9994535519125683,0.9966440666531742
6,extreme,0.9261363636363636,0.9494163424124513,0.9037037037037037,1.0,0.9960763678067868
7,extreme,0.9261363636363636,0.9494163424124513,0.9037037037037037,1.0,0.9964619172906968
8,extreme,0.9212121212121213,0.9462254395036195,0.8979391560353287,1.0,0.9964184038318828
9,extreme,0.9295454545454546,0.9516380655226209,0.9077380952380952,1.0,0.9968343115428726
10,extreme,0.9185606060606061,0.944516129032258,0.8948655256723717,1.0,0.9957630034405991
11,extreme,0.9238636363636363,0.947940947940948,0.9010339734121122,1.0,0.9963313769142548
12,extreme,0.9295454545454546,0.9516380655226209,0.9077380952380952,1.0,0.9966069621534103
13,extreme,0.9257575757575758,0.9491701244813278,0.9032576505429417,1.0,0.9967617891115159
14,extreme,0.9185606060606061,0.944516129032258,0.8948655256723717,1.0,0.996179248465223
15,extreme,0.9295454545454546,0.9516380655226209,0.9077380952380952,1.0,0.9972067057950482
16,extreme,0.9268939393939394,0.9499091616921879,0.9045971329708354,1.0,0.9961094245429399
17,extreme,0.9204545454545454,0.9457364341085271,0.8970588235294118,1.0,0.9962450246238953
18,extreme,0.9143939393939394,0.9418425115800309,0.8900778210116731,1.0,0.9957619914996965
19,extreme,0.9181818181818182,0.9442724458204335,0.8944281524926686,1.0,0.9960588274978075
20,extreme,0.9261363636363636,0.9494163424124513,0.9037037037037037,1.0,0.9960143020980907
21,extreme,0.925,0.9486780715396579,0.9023668639053254,1.0,0.9956540511367469
22,extreme,0.9303030303030303,0.9521331945889698,0.9086395233366436,1.0,0.9969361802604062
23,extreme,0.9276515151515151,0.9504024928589977,0.9054923305294409,1.0,0.9970525534642111
24,extreme,0.9223484848484849,0.9469598965071151,0.8992628992628993,1.0,0.9964163799500776
25,extreme,0.921969696969697,0.9467149508535955,0.8988212180746562,1.0,0.9965128516494637
26,extreme,0.9261363636363636,0.9494163424124513,0.9037037037037037,1.0,0.996545908385617
27,extreme,0.9215909090909091,0.9464701318851824,0.898379970544919,1.0,0.9965357889765905
28,extreme,0.9276515151515151,0.9503509227969846,0.9062964799206743,0.9989071038251366,0.9964764217769683
29,extreme,0.9276515151515151,0.9503250975292588,0.9066997518610422,0.9983606557377049,0.9958540781218378
