method,accuracy_mean,accuracy_std,accuracy_ci95_low,accuracy_ci95_high,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,precision_mean,precision_std,precision_ci95_low,precision_ci95_high,recall_mean,recall_std,recall_ci95_low,recall_ci95_high,auc_mean,auc_std,auc_ci95_low,auc_ci95_high
extreme,0.9239267676767676,0.004328096526824148,0.9223779782255508,0.9254755571279845,0.9479836769357594,0.0028023553754863025,0.9469808669436035,0.9489864869279152,0.9012282598508045,0.0050961036395215,0.8994046425838877,0.9030518771177212,0.9998724954462659,0.0003709893737291558,0.9997397386038562,1.0000052522886755,0.9963827722683217,0.00041615722751022844,0.9962338523170173,0.9965316922196261
binned_10,0.9734469696969698,0.002125010593647759,0.9726865444220786,0.9742073949718609,0.980606720465914,0.0015351092834896788,0.9800573886638161,0.981156052268012,0.9931369367222903,0.0030809832855731843,0.9920344210130179,0.9942394524315628,0.9683970856102003,0.0020197093546404903,0.9676743418997483,0.9691198293206523,0.9969496165868357,0.000677072675964791,0.9967073292414074,0.997191903932264
